Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,HBP,BB/K,BABIP,SF
10,Correa Jr,Carlos,1.0,3.0,2.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.5,,0.0
11,Miller,Michael,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,inf,1.0,0.0
12,Statler,Weston,1.0,3.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,inf,,0.0
2,Horton,Kaleb,1.0,3.0,2.0,0.5,0.667,1.167,0.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
3,Orozco,Easton,1.0,3.0,2.0,0.5,0.667,1.167,0.5,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,inf,0.5,0.0
4,Duncan,Reid,1.0,3.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,inf,,0.0
5,Reimers,Broderick,1.0,4.0,2.0,0.5,0.75,1.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
8,Stockton,Samuel,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,Durgin,Damond,1.0,3.0,1.0,0.0,0.667,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,,0.0
